ticker,short_name,currency,exchange,quote_type,sector,industry,market_cap,enterprise_value,trailing_pe,forward_pe,price_to_book,profit_margins,revenue_growth,earnings_growth,last_close_5d,fifty_two_week_high,fifty_two_week_low,cik,sec_edgar_url,sec_company_search_url,data_source
NVDA,NVIDIA Corporation,USD,NMS,EQUITY,Technology,Semiconductors,5230849163264.0,5178215890944.0,43.832382,19.069513,33.25355,0.55603,0.732,0.956,215.199997,217.8,120.28,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=NVDA,yfinance (indicative)
AMD,"Advanced Micro Devices, Inc.",USD,NMS,EQUITY,Technology,Semiconductors,742233079808.0,733757112320.0,151.73,35.279404,11.777231,0.13374,0.378,0.912,455.190002,456.29,106.98,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=AMD,yfinance (indicative)
AVGO,Broadcom Inc.,USD,NMS,EQUITY,Technology,Semiconductors,2035907428352.0,2087790313472.0,83.984375,23.733368,25.496592,0.36572,0.295,0.316,430.0,437.68,215.88,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=AVGO,yfinance (indicative)
MU,"Micron Technology, Inc.",USD,NMS,EQUITY,Technology,Semiconductors,842180460544.0,838412075008.0,35.209335,7.337145,11.625543,0.41486,1.963,7.56,746.809998,747.21,90.93,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=MU,yfinance (indicative)
ANET,"Arista Networks, Inc.",USD,NYQ,EQUITY,Technology,Computer Hardware,178512445440.0,166163955712.0,48.718212,31.970793,13.219881,0.38317,0.351,0.25,141.770004,179.8,83.858,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=ANET,yfinance (indicative)
VRT,"Vertiv Holdings, LLC",USD,NYQ,EQUITY,Industrials,Electrical Equipment & Parts,130585468928.0,131349872640.0,85.4196,39.45643,32.997185,0.14372,0.301,1.357,339.970001,359.84,99.44,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=VRT,yfinance (indicative)
LRCX,Lam Research Corporation,USD,NMS,EQUITY,Technology,Semiconductor Equipment & Materials,367730393088.0,366713929728.0,55.58601,37.16065,34.741257,0.30939,0.238,0.408,294.049988,298.0,79.49,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=LRCX,yfinance (indicative)
AMAT,"Applied Materials, Inc.",USD,NMS,EQUITY,Technology,Semiconductor Equipment & Materials,345504022528.0,344248483840.0,44.652054,30.24528,15.909283,0.27784,-0.021,0.752,435.440002,438.04,153.47,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=AMAT,yfinance (indicative)
KLAC,KLA Corporation,USD,NMS,EQUITY,Technology,Semiconductor Equipment & Materials,244167639040.0,245355085824.0,52.90659,37.680027,44.84836,0.35662,0.115,0.118,1869.189941,1939.36,740.44,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=KLAC,yfinance (indicative)
VST,Vistra Corp.,USD,NYQ,EQUITY,Utilities,Utilities - Independent Power Producers,49781641216.0,71565590528.0,24.702341,13.096069,19.05327,0.11525,0.434,,147.720001,219.82,138.53,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=VST,yfinance (indicative)
