ticker,growth_rate,wacc,implied_price,upside_pct
MU,0.04,0.08,2041.66,181.7
MU,0.04,0.09,1725.63,138.1
MU,0.04,0.1,1493.94,106.2
MU,0.04,0.11,1316.81,81.7
MU,0.04,0.12,1177.02,62.4
MU,0.075,0.08,2373.74,227.6
MU,0.075,0.09,2001.48,176.2
MU,0.075,0.1,1728.7,138.6
MU,0.075,0.11,1520.3,109.8
MU,0.075,0.12,1355.92,87.1
MU,0.10999999999999999,0.08,2749.72,279.4
MU,0.10999999999999999,0.09,2313.44,219.2
MU,0.10999999999999999,0.1,1993.92,175.2
MU,0.10999999999999999,0.11,1749.93,141.5
MU,0.10999999999999999,0.12,1557.6,114.9
MU,0.145,0.08,3173.89,338.0
MU,0.145,0.09,2665.06,267.8
MU,0.145,0.1,2292.56,216.4
MU,0.145,0.11,2008.26,177.1
MU,0.145,0.12,1784.27,146.2
MU,0.18,0.08,3650.87,403.8
MU,0.18,0.09,3060.09,322.3
MU,0.18,0.1,2627.78,262.6
MU,0.18,0.11,2297.97,217.1
MU,0.18,0.12,2038.26,181.3
B,0.04,0.08,91.22,124.6
B,0.04,0.09,77.1,89.9
B,0.04,0.1,66.75,64.4
B,0.04,0.11,58.83,44.9
B,0.04,0.12,52.59,29.5
B,0.075,0.08,106.06,161.2
B,0.075,0.09,89.42,120.2
B,0.075,0.1,77.24,90.2
B,0.075,0.11,67.93,67.3
B,0.075,0.12,60.58,49.2
B,0.10999999999999999,0.08,122.85,202.5
B,0.10999999999999999,0.09,103.36,154.5
B,0.10999999999999999,0.1,89.09,119.4
B,0.10999999999999999,0.11,78.19,92.5
B,0.10999999999999999,0.12,69.59,71.4
B,0.145,0.08,141.81,249.2
B,0.145,0.09,119.07,193.2
B,0.145,0.1,102.43,152.2
B,0.145,0.11,89.73,120.9
B,0.145,0.12,79.72,96.3
B,0.18,0.08,163.12,301.7
B,0.18,0.09,136.72,236.7
B,0.18,0.1,117.41,189.1
B,0.18,0.11,102.67,152.8
B,0.18,0.12,91.07,124.2
REGN,0.04,0.08,1072.02,53.5
REGN,0.04,0.09,906.08,29.8
REGN,0.04,0.1,784.43,12.3
REGN,0.04,0.11,691.42,-1.0
REGN,0.04,0.12,618.02,-11.5
REGN,0.075,0.08,1246.39,78.5
REGN,0.075,0.09,1050.92,50.5
REGN,0.075,0.1,907.69,30.0
REGN,0.075,0.11,798.26,14.3
REGN,0.075,0.12,711.96,2.0
REGN,0.10999999999999999,0.08,1443.8,106.8
REGN,0.10999999999999999,0.09,1214.72,74.0
REGN,0.10999999999999999,0.1,1046.95,49.9
REGN,0.10999999999999999,0.11,918.84,31.6
REGN,0.10999999999999999,0.12,817.85,17.1
REGN,0.145,0.08,1666.52,138.7
REGN,0.145,0.09,1399.35,100.4
REGN,0.145,0.1,1203.76,72.4
REGN,0.145,0.11,1054.48,51.0
REGN,0.145,0.12,936.87,34.2
REGN,0.18,0.08,1916.97,174.5
REGN,0.18,0.09,1606.77,130.1
REGN,0.18,0.1,1379.77,97.6
REGN,0.18,0.11,1206.6,72.8
REGN,0.18,0.12,1070.23,53.3
GSK,0.04,0.08,104.16,109.7
GSK,0.04,0.09,88.04,77.2
GSK,0.04,0.1,76.22,53.5
GSK,0.04,0.11,67.18,35.3
GSK,0.04,0.12,60.05,20.9
GSK,0.075,0.08,121.11,143.8
GSK,0.075,0.09,102.11,105.6
GSK,0.075,0.1,88.2,77.6
GSK,0.075,0.11,77.56,56.2
GSK,0.075,0.12,69.18,39.3
GSK,0.10999999999999999,0.08,140.29,182.4
GSK,0.10999999999999999,0.09,118.03,137.6
GSK,0.10999999999999999,0.1,101.73,104.8
GSK,0.10999999999999999,0.11,89.28,79.7
GSK,0.10999999999999999,0.12,79.47,60.0
GSK,0.145,0.08,161.93,226.0
GSK,0.145,0.09,135.97,173.7
GSK,0.145,0.1,116.96,135.5
GSK,0.145,0.11,102.46,106.3
GSK,0.145,0.12,91.03,83.3
GSK,0.18,0.08,186.26,275.0
GSK,0.18,0.09,156.12,214.3
GSK,0.18,0.1,134.07,169.9
GSK,0.18,0.11,117.24,136.0
GSK,0.18,0.12,103.99,109.4
CVS,0.04,0.08,166.44,73.6
CVS,0.04,0.09,140.68,46.7
CVS,0.04,0.1,121.79,27.0
CVS,0.04,0.11,107.35,12.0
CVS,0.04,0.12,95.95,0.1
CVS,0.075,0.08,193.52,101.8
CVS,0.075,0.09,163.17,70.2
CVS,0.075,0.1,140.93,47.0
CVS,0.075,0.11,123.94,29.3
CVS,0.075,0.12,110.54,15.3
CVS,0.10999999999999999,0.08,224.17,133.8
CVS,0.10999999999999999,0.09,188.6,96.7
CVS,0.10999999999999999,0.1,162.55,69.5
CVS,0.10999999999999999,0.11,142.66,48.8
CVS,0.10999999999999999,0.12,126.98,32.4
CVS,0.145,0.08,258.75,169.8
CVS,0.145,0.09,217.26,126.6
CVS,0.145,0.1,186.9,94.9
CVS,0.145,0.11,163.72,70.7
CVS,0.145,0.12,145.46,51.7
CVS,0.18,0.08,297.63,210.4
CVS,0.18,0.09,249.47,160.2
CVS,0.18,0.1,214.23,123.4
CVS,0.18,0.11,187.34,95.4
CVS,0.18,0.12,166.17,73.3
GMAB.CO,0.04,0.08,2145.57,27.4
GMAB.CO,0.04,0.09,1813.46,7.7
GMAB.CO,0.04,0.1,1569.98,-6.8
GMAB.CO,0.04,0.11,1383.84,-17.8
GMAB.CO,0.04,0.12,1236.93,-26.5
GMAB.CO,0.075,0.08,2494.56,48.1
GMAB.CO,0.075,0.09,2103.35,24.9
