ticker,growth_rate,wacc,implied_price,upside_pct
A,0.04,0.08,130.81,17.1
A,0.04,0.09,110.56,-1.0
A,0.04,0.1,95.71,-14.3
A,0.04,0.11,84.37,-24.5
A,0.04,0.12,75.41,-32.5
A,0.075,0.08,152.08,36.2
A,0.075,0.09,128.23,14.8
A,0.075,0.1,110.76,-0.8
A,0.075,0.11,97.4,-12.8
A,0.075,0.12,86.87,-22.2
A,0.10999999999999999,0.08,176.17,57.7
A,0.10999999999999999,0.09,148.22,32.7
A,0.10999999999999999,0.1,127.75,14.4
A,0.10999999999999999,0.11,112.12,0.4
A,0.10999999999999999,0.12,99.79,-10.7
A,0.145,0.08,203.35,82.0
A,0.145,0.09,170.75,52.9
A,0.145,0.1,146.88,31.5
A,0.145,0.11,128.67,15.2
A,0.145,0.12,114.32,2.3
A,0.18,0.08,233.91,109.4
A,0.18,0.09,196.06,75.5
A,0.18,0.1,168.36,50.7
A,0.18,0.11,147.23,31.8
A,0.18,0.12,130.59,16.9
ABT,0.04,0.08,120.69,42.9
ABT,0.04,0.09,102.01,20.8
ABT,0.04,0.1,88.31,4.5
ABT,0.04,0.11,77.84,-7.8
ABT,0.04,0.12,69.58,-17.6
ABT,0.075,0.08,140.32,66.1
ABT,0.075,0.09,118.31,40.1
ABT,0.075,0.1,102.19,21.0
ABT,0.075,0.11,89.87,6.4
ABT,0.075,0.12,80.15,-5.1
ABT,0.10999999999999999,0.08,162.54,92.4
ABT,0.10999999999999999,0.09,136.75,61.9
ABT,0.10999999999999999,0.1,117.87,39.5
ABT,0.10999999999999999,0.11,103.44,22.5
ABT,0.10999999999999999,0.12,92.07,9.0
ABT,0.145,0.08,187.62,122.1
ABT,0.145,0.09,157.54,86.5
ABT,0.145,0.1,135.52,60.4
ABT,0.145,0.11,118.71,40.5
ABT,0.145,0.12,105.47,24.9
ABT,0.18,0.08,215.81,155.5
ABT,0.18,0.09,180.89,114.1
ABT,0.18,0.1,155.34,83.9
ABT,0.18,0.11,135.84,60.8
ABT,0.18,0.12,120.49,42.6
ACLS,0.04,0.08,92.27,-40.5
ACLS,0.04,0.09,77.99,-49.7
ACLS,0.04,0.1,67.52,-56.5
ACLS,0.04,0.11,59.51,-61.7
ACLS,0.04,0.12,53.19,-65.7
ACLS,0.075,0.08,107.28,-30.9
ACLS,0.075,0.09,90.45,-41.7
ACLS,0.075,0.1,78.13,-49.7
ACLS,0.075,0.11,68.71,-55.7
ACLS,0.075,0.12,61.28,-60.5
ACLS,0.10999999999999999,0.08,124.27,-19.9
ACLS,0.10999999999999999,0.09,104.55,-32.6
ACLS,0.10999999999999999,0.1,90.11,-41.9
ACLS,0.10999999999999999,0.11,79.08,-49.0
ACLS,0.10999999999999999,0.12,70.39,-54.6
ACLS,0.145,0.08,143.44,-7.6
ACLS,0.145,0.09,120.44,-22.4
ACLS,0.145,0.1,103.61,-33.2
ACLS,0.145,0.11,90.76,-41.5
ACLS,0.145,0.12,80.64,-48.0
ACLS,0.18,0.08,164.99,6.3
ACLS,0.18,0.09,138.29,-10.9
ACLS,0.18,0.1,118.76,-23.5
ACLS,0.18,0.11,103.85,-33.1
ACLS,0.18,0.12,92.12,-40.6
ACMR,0.04,0.08,44.85,-29.6
ACMR,0.04,0.09,37.91,-40.5
ACMR,0.04,0.1,32.82,-48.5
ACMR,0.04,0.11,28.93,-54.6
ACMR,0.04,0.12,25.85,-59.4
ACMR,0.075,0.08,52.14,-18.1
ACMR,0.075,0.09,43.96,-30.9
ACMR,0.075,0.1,37.97,-40.4
ACMR,0.075,0.11,33.39,-47.5
ACMR,0.075,0.12,29.78,-53.2
ACMR,0.10999999999999999,0.08,60.4,-5.1
ACMR,0.10999999999999999,0.09,50.82,-20.2
ACMR,0.10999999999999999,0.1,43.8,-31.2
ACMR,0.10999999999999999,0.11,38.44,-39.6
ACMR,0.10999999999999999,0.12,34.21,-46.3
ACMR,0.145,0.08,69.72,9.5
ACMR,0.145,0.09,58.54,-8.1
ACMR,0.145,0.1,50.36,-20.9
ACMR,0.145,0.11,44.11,-30.7
ACMR,0.145,0.12,39.19,-38.4
ACMR,0.18,0.08,80.2,26.0
ACMR,0.18,0.09,67.22,5.6
ACMR,0.18,0.1,57.72,-9.3
ACMR,0.18,0.11,50.48,-20.7
ACMR,0.18,0.12,44.77,-29.7
ADI,0.04,0.08,263.66,-36.8
ADI,0.04,0.09,222.85,-46.6
ADI,0.04,0.1,192.92,-53.8
ADI,0.04,0.11,170.05,-59.3
ADI,0.04,0.12,152.0,-63.6
ADI,0.075,0.08,306.54,-26.6
ADI,0.075,0.09,258.47,-38.1
ADI,0.075,0.1,223.24,-46.5
ADI,0.075,0.11,196.33,-53.0
ADI,0.075,0.12,175.1,-58.1
ADI,0.10999999999999999,0.08,355.09,-14.9
ADI,0.10999999999999999,0.09,298.75,-28.4
ADI,0.10999999999999999,0.1,257.49,-38.3
ADI,0.10999999999999999,0.11,225.98,-45.9
ADI,0.10999999999999999,0.12,201.15,-51.8
ADI,0.145,0.08,409.87,-1.8
ADI,0.145,0.09,344.16,-17.6
ADI,0.145,0.1,296.06,-29.1
ADI,0.145,0.11,259.34,-37.9
ADI,0.145,0.12,230.42,-44.8
ADI,0.18,0.08,471.47,12.9
ADI,0.18,0.09,395.17,-5.3
ADI,0.18,0.1,339.35,-18.7
ADI,0.18,0.11,296.76,-28.9
