ticker,beta,volatility,max_drawdown,return_1y,sharpe,spy_correlation
MU,2.3,0.6379,-0.5763,6.6102,10.29,0.6
B,0.72,0.4015,-0.2931,1.3166,3.17,0.3
PSX,0.79,0.3278,-0.3523,0.4641,1.28,0.4
MPC,0.72,0.3369,-0.3333,0.576,1.58,0.36
FSLR,1.02,0.5987,-0.5997,0.2535,0.35,0.28
CVS,0.33,0.3497,-0.3438,0.6437,1.71,0.16
PFE,0.4,0.243,-0.29,0.1991,0.63,0.28
EOG,0.48,0.275,-0.2372,0.2537,0.76,0.29
PATH,1.36,0.5999,-0.5404,-0.2142,-0.43,0.38
GEN,0.88,0.2958,-0.4359,-0.1756,-0.75,0.5
VLO,0.66,0.3628,-0.3509,0.9067,2.38,0.3
ZBH,0.34,0.2853,-0.3308,-0.1257,-0.6,0.2
SMCI,2.3,0.9727,-0.8042,-0.2939,-0.35,0.39
TENB,0.94,0.3727,-0.6598,-0.351,-1.06,0.42
QUBT,2.23,1.7467,-0.824,0.1369,0.05,0.21
VST,1.91,0.6299,-0.488,-0.0767,-0.19,0.51
TXT,0.95,0.2679,-0.3537,0.1691,0.46,0.59
CNC,0.19,0.5155,-0.6858,-0.0298,-0.15,0.06
QRVO,1.68,0.4718,-0.6068,0.1764,0.28,0.6
VWS.CO,0.01,0.4782,-0.5882,1.0607,2.12,0.0
NVDA,2.0,0.4869,-0.3688,0.6715,1.29,0.69
TSM,1.63,0.4131,-0.3682,1.1077,2.57,0.66
PLAB,1.95,0.6048,-0.4224,1.4025,2.24,0.54
CRUS,1.32,0.3838,-0.4685,0.4942,1.17,0.57
DIOD,1.81,0.5361,-0.6008,1.064,1.9,0.56
