ticker,beta,volatility,max_drawdown,return_1y,sharpe,spy_correlation
A,0.98,0.297,-0.348,0.0497,0.02,0.55
ABT,0.21,0.2258,-0.3964,-0.3423,-1.72,0.15
ACLS,1.88,0.5688,-0.7264,1.6464,2.82,0.55
ACMR,2.08,0.7532,-0.4634,2.8059,3.67,0.46
ADI,1.59,0.3659,-0.322,0.9514,2.48,0.73
AEHR,2.91,1.0741,-0.671,9.4869,8.79,0.45
AFX.DE,0.02,0.4812,-0.7261,-0.536,-1.21,0.01
AIR.PA,0.01,0.2894,-0.2771,0.0733,0.1,0.0
AIXA.DE,0.02,0.5782,-0.5909,3.8777,6.63,0.0
ALAB,2.51,0.9213,-0.6369,2.3353,2.49,0.45
ALFA.ST,-0.01,0.2146,-0.2479,0.3195,1.28,-0.01
ALGN,1.32,0.469,-0.5397,-0.0878,-0.28,0.47
ALLE,0.63,0.2497,-0.2984,-0.0853,-0.52,0.42
AMAT,1.88,0.4749,-0.4988,1.7902,3.68,0.66
AMD,2.16,0.5956,-0.5749,3.3256,5.51,0.61
AME,0.82,0.2347,-0.2304,0.2602,0.92,0.58
AMGN,0.49,0.2641,-0.2274,0.2387,0.73,0.31
AMKR,2.25,0.6058,-0.6586,2.865,4.66,0.62
AMZN,1.36,0.3229,-0.3088,0.3195,0.85,0.71
ANET,1.77,0.5296,-0.5042,0.6684,1.18,0.56
AOS,0.61,0.258,-0.3674,-0.1362,-0.7,0.4
AOSL,2.69,0.8111,-0.6694,1.2641,1.5,0.56
APH,1.45,0.3911,-0.2819,0.5989,1.42,0.62
APLD,2.8,1.3344,-0.6779,5.4532,4.05,0.35
ARGX.BR,0.15,0.3201,-0.2956,0.3811,1.05,0.08
ARM,2.54,0.6692,-0.5397,1.2597,1.82,0.63
ARQQ,2.36,1.4332,-0.7978,-0.3902,-0.3,0.28
ARRY,1.22,0.8595,-0.7195,0.29,0.29,0.24
ASM.AS,0.02,0.4405,-0.5205,0.8549,1.84,0.01
ASML,1.69,0.4486,-0.4548,1.1279,2.41,0.63
ASTS,2.48,1.1978,-0.5409,4.2174,3.48,0.35
ATCO-A.ST,0.01,0.2798,-0.3282,0.1579,0.4,0.01
ATO,0.14,0.1618,-0.0992,0.1514,0.66,0.14
ATRO,1.28,0.5399,-0.333,1.68,3.03,0.39
AVGO,2.01,0.5389,-0.4115,0.8047,1.41,0.62
AVIO.MI,0.39,0.5529,-0.63,1.057,1.83,0.12
AWK,-0.21,0.2259,-0.1881,-0.1125,-0.7,-0.15
AZN,0.39,0.2432,-0.2787,0.331,1.18,0.27
B,0.73,0.4025,-0.2931,1.2348,2.96,0.3
BA,1.14,0.3548,-0.2864,0.1158,0.2,0.54
BA.L,0.25,0.3087,-0.2186,0.0512,0.02,0.13
BAESY,0.47,0.3413,-0.2359,0.0292,-0.05,0.23
BANB.SW,-0.1,0.414,-0.5053,0.6155,1.38,-0.04
BAX,0.89,0.4022,-0.5982,-0.3653,-1.02,0.37
BE,2.04,1.022,-0.4594,13.8684,13.53,0.33
BEP,0.73,0.3261,-0.2972,0.5731,1.62,0.38
BESI.AS,0.28,0.493,-0.5316,1.6706,3.3,0.09
BIIB,0.54,0.3119,-0.5212,0.5342,1.57,0.29
BIP,0.83,0.2519,-0.2401,0.21,0.66,0.55
BKSY,2.54,1.0376,-0.6678,3.3478,3.18,0.41
BNTX,0.94,0.4876,-0.3388,-0.0563,-0.21,0.32
BSX,0.6,0.2933,-0.5334,-0.5247,-1.94,0.34
BWXT,1.27,0.4028,-0.3287,0.635,1.46,0.53
CAMT,2.01,0.6305,-0.6316,1.5692,2.42,0.53
CAT,1.23,0.3236,-0.3405,1.6166,4.86,0.64
CCJ,1.44,0.5154,-0.4001,0.7802,1.43,0.47
CDNS,1.49,0.3983,-0.2905,0.1578,0.28,0.63
CEG,1.64,0.5934,-0.507,-0.061,-0.18,0.46
CGNX,1.4,0.5194,-0.5574,1.1862,2.2,0.45
CHKP,0.5,0.3359,-0.5183,-0.437,-1.44,0.25
CI,0.19,0.3039,-0.321,-0.0745,-0.39,0.1
CMI,1.24,0.3187,-0.3048,1.0798,3.25,0.65
CNA.L,0.13,0.2579,-0.1967,0.2286,0.71,0.08
CNC,0.19,0.5158,-0.6858,0.0203,-0.05,0.06
COHR,2.61,0.7178,-0.5485,3.6826,5.07,0.61
COHU,1.77,0.5048,-0.6248,2.097,4.07,0.58
COLO-B.CO,-0.07,0.2393,-0.5566,-0.3611,-1.7,-0.05
COP,0.6,0.3116,-0.2895,0.3904,1.11,0.32
CRUS,1.33,0.3854,-0.4685,0.6987,1.7,0.57
CRWD,1.5,0.4838,-0.4444,0.3667,0.66,0.52
CVS,0.32,0.3491,-0.3438,0.5559,1.46,0.15
CVX,0.43,0.2375,-0.2064,0.3788,1.41,0.3
DDOG,1.26,0.5342,-0.4862,0.8861,1.57,0.4
DE,0.7,0.29,-0.199,0.0524,0.03,0.41
DEMANT.CO,-0.07,0.3365,-0.4802,-0.0858,-0.39,-0.04
DGX,0.2,0.2243,-0.1155,0.1371,0.41,0.15
DHR,0.83,0.2887,-0.4172,-0.0785,-0.43,0.48
DIOD,1.82,0.5411,-0.6008,1.3413,2.4,0.56
DNA,2.36,1.0503,-0.7856,0.2828,0.23,0.38
DNN,1.43,0.6165,-0.5248,0.9941,1.54,0.39
DOV,1.03,0.26,-0.2659,0.188,0.55,0.66
DRX.L,0.21,0.2564,-0.2064,0.2433,0.77,0.14
DSY.PA,0.12,0.3212,-0.608,-0.3803,-1.32,0.06
DT,0.85,0.3625,-0.4816,-0.2826,-0.9,0.39
DUK,-0.07,0.1647,-0.1159,0.1147,0.42,-0.07
DVN,0.84,0.3721,-0.436,0.4487,1.08,0.38
DXCM,0.83,0.5027,-0.5704,-0.1766,-0.44,0.28
EADSY,0.88,0.3098,-0.2947,0.1135,0.22,0.48
ED,-0.2,0.1832,-0.1736,0.0734,0.15,-0.18
EDP.LS,0.16,0.249,-0.3015,0.3025,1.03,0.11
EDPR.LS,0.12,0.3555,-0.5716,0.563,1.46,0.06
ELV,0.26,0.3447,-0.5038,0.0634,0.05,0.12
EMR,1.33,0.3114,-0.2961,0.1738,0.41,0.71
ENEL.MI,0.22,0.1886,-0.1276,0.2646,1.16,0.2
ENGI.PA,0.04,0.1893,-0.1331,0.475,2.27,0.04
ENPH,1.16,0.7617,-0.8058,0.7474,0.92,0.25
ENR.DE,0.06,0.5042,-0.2365,1.0097,1.91,0.02
ENTG,2.35,0.564,-0.5693,0.8753,1.47,0.7
EOG,0.47,0.2759,-0.2372,0.2504,0.74,0.29
ESLT,0.3,0.3652,-0.2598,1.1618,3.06,0.14
ESTC,1.34,0.5385,-0.6459,-0.4195,-0.86,0.42
ET,0.65,0.2267,-0.2456,0.1602,0.51,0.48
ETL.PA,-0.11,1.3998,-0.7909,0.2893,0.17,-0.01
ETN,1.45,0.3539,-0.3446,0.2527,0.59,0.69
EW,0.59,0.3357,-0.3634,0.135,0.27,0.29
EXC,-0.05,0.1893,-0.1374,0.0797,0.18,-0.04
FANG,0.78,0.3525,-0.421,0.4388,1.12,0.37
FAST,0.67,0.2525,-0.219,0.0989,0.21,0.44
FE,0.07,0.1783,-0.1471,0.1563,0.62,0.07
FLEX,1.83,0.5346,-0.3999,2.432,4.47,0.57
FLNC,2.11,1.0585,-0.8593,3.3934,3.16,0.33
FLS,1.52,0.4324,-0.3876,0.4534,0.94,0.59
FORM,2.16,0.6499,-0.6275,3.1637,4.8,0.55
FRSH,1.19,0.4709,-0.6516,-0.3969,-0.94,0.42
FSLR,1.04,0.5819,-0.5997,0.7573,1.22,0.3
FTNT,1.03,0.4316,-0.3507,0.2214,0.41,0.4
FTV,0.95,0.2635,-0.254,0.1271,0.31,0.6
GD,0.54,0.2164,-0.2255,0.2498,0.95,0.42
GE,1.19,0.3275,-0.2136,0.3189,0.84,0.61
GEN,0.88,0.297,-0.4359,-0.1097,-0.52,0.5
GEV,1.79,0.528,-0.3829,1.1933,2.17,0.57
GFS,1.74,0.5164,-0.4799,1.1833,2.2,0.56
GGG,0.75,0.2075,-0.2032,-0.0931,-0.67,0.6
GMAB.CO,-0.26,0.332,-0.4059,0.2513,0.62,-0.13
GNRC,1.33,0.4616,-0.4776,1.2254,2.56,0.48
GSAT,1.43,0.7505,-0.4879,3.409,4.48,0.32
GSK,0.25,0.271,-0.2684,0.3568,1.15,0.15
HAL,0.97,0.3816,-0.4629,1.0373,2.6,0.43
HEXA-B.ST,0.16,0.3555,-0.4389,-0.117,-0.46,0.07
HII,0.69,0.3959,-0.4312,0.4198,0.95,0.29
HIK.L,0.28,0.2891,-0.4908,-0.3123,-1.24,0.16
HLMA.L,0.33,0.2575,-0.2313,0.5658,2.02,0.21
HO.PA,-0.01,0.3233,-0.196,-0.1077,-0.47,-0.0
