ticker,short_name,currency,exchange,quote_type,sector,industry,market_cap,enterprise_value,trailing_pe,forward_pe,price_to_book,profit_margins,revenue_growth,earnings_growth,last_close_5d,fifty_two_week_high,fifty_two_week_low,cik,sec_edgar_url,sec_company_search_url,regulatory_lookup_url,data_source
MMM,3M Company,USD,NYQ,EQUITY,Industrials,Conglomerates,76263563264.0,83620560896.0,28.17341,15.464474,23.372763,0.11137,0.013,-0.397,146.220001,177.41,139.34,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=MMM,,yfinance (indicative)
AOS,A.O. Smith Corporation,USD,NYQ,EQUITY,Industrials,Specialty Industrial Machinery,7719780864.0,8172781056.0,14.936,13.401477,4.110825,0.13841,-0.019,-0.105,56.009998,81.87,55.98,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=AOS,,yfinance (indicative)
ABB,,,,NONE,,,,,,,,,,,,,,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=ABB,,yfinance (indicative)
ABT,Abbott Laboratories,USD,NYQ,EQUITY,Healthcare,Medical Devices,147130957824.0,174611890176.0,23.661066,13.929864,2.826124,0.13905,0.078,-0.197,84.470001,139.06,81.97,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=ABT,,yfinance (indicative)
IBE.MC,ACCIONES IBERDROLA,EUR,MCE,EQUITY,Utilities,Utilities - Diversified,129750638592.0,197909643264.0,24.0,17.956345,2.611534,0.13771,-0.045,-0.186,19.200001,20.6,15.095,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=IBE.MC,https://www.google.com/search?q=IBE.MC%20investor%20relations%20annual%20report,yfinance (indicative)
ACMR,"ACM Research, Inc.",USD,NGM,EQUITY,Technology,Semiconductor Equipment & Materials,4216537600.0,3790392576.0,48.603054,28.255959,2.66569,0.09477,0.342,-0.187,63.669998,71.65,21.873,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=ACMR,,yfinance (indicative)
ADBE,Adobe Inc.,USD,NMS,EQUITY,Technology,Software - Application,100079919104.0,99850919936.0,14.428905,9.383757,8.792614,0.29477,0.12,0.111,247.600006,422.95,224.13,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=ADBE,,yfinance (indicative)
AMD,"Advanced Micro Devices, Inc.",USD,NMS,EQUITY,Technology,Semiconductors,691537707008.0,683061739520.0,140.89702,32.73839,10.723949,0.13374,0.378,0.912,424.100006,469.22,107.67,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=AMD,,yfinance (indicative)
ADYEN,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=ADYEN,,yfinance (indicative)
AEHR,Aehr Test Systems,USD,NCM,EQUITY,Technology,Semiconductor Equipment & Materials,3129598720.0,3102712832.0,,663.3333,22.190008,-0.25226,-0.437,,99.5,108.75,8.31,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=AEHR,,yfinance (indicative)
AFRM,"Affirm Holdings, Inc.",USD,NMS,EQUITY,Financial Services,Credit Services,22043023360.0,29364772864.0,59.83636,17.261229,5.825295,0.09629,0.326,35.293,65.82,100.0,42.095,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=AFRM,,yfinance (indicative)
A,"Agilent Technologies, Inc.",USD,NYQ,EQUITY,Healthcare,Diagnostics & Research,31566675968.0,33358678016.0,24.603523,16.99565,4.571124,0.18259,0.07,-0.036,111.699997,160.27,107.07,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=A,,yfinance (indicative)
