ticker,company,theme,metric_type,price,mkt_cap,current_metric,current_multiple,bull_cagr,bull_multiple,bull_price,bull_upside,base_cagr,base_multiple,base_price,base_upside,bear_cagr,bear_multiple,bear_price,bear_upside,weighted_price,weighted_upside,bull_prob,base_prob,bear_prob
MU,MU,AI infrastructure & compute,Fwd EPS,724.66,817223696384.0,102.5821,7.1x,0.18,28.0,4719.278841961599,551.2404219857036,0.12,22.0,3170.650220953601,337.5362543749622,0.04,15.0,1730.863670016,138.8518298258494,3197.8607384712004,341.29119014036934,0.25,0.5,0.25
B,B,Industrial automation & robotics,Fwd EPS,40.61,68206055424.0,4.58327,8.9x,0.18,28.0,210.85285968991997,419.2141336860871,0.12,22.0,141.66161580032005,248.83431617906933,0.04,15.0,77.3333313792,90.42928189903965,142.87735566744,251.82801198581632,0.25,0.5,0.25
REGN,REGN,Health Tech,Fwd EPS,698.25,73203851264.0,53.86299,13.0x,0.18,28.0,2477.9612531990397,254.88166891500748,0.12,22.0,1664.8197019238405,138.42745462568428,0.04,15.0,908.8280757504001,30.157977193039763,1679.1071831992801,140.47363883985392,0.25,0.5,0.25
GSK,GSK,Health Tech,Fwd EPS,49.67,99713130496.0,5.23362,9.5x,0.18,28.0,240.77214380351995,384.74359533625926,0.12,22.0,161.76290414592006,225.67526504111143,0.04,15.0,88.30666091520001,77.78671414374875,163.15115325264003,228.47020989055773,0.25,0.5,0.25
CVS,CVS,Health Tech,Fwd EPS,95.89,122348666880.0,8.36284,11.5x,0.18,28.0,384.73158446464,301.22180046369795,0.12,22.0,258.48213766144005,169.56109882306816,0.04,15.0,141.1058648064,47.153889671915735,260.70043114848,171.87447194543748,0.25,0.5,0.25
GMAB.CO,GMAB.CO,Health Tech,Fwd EPS,1684.0,103386488832.0,107.80323,15.6x,0.18,28.0,4959.4763846140795,194.50572355190494,0.12,22.0,3332.027078983681,97.8638407947554,0.04,15.0,1818.9595876608,8.01422729577197,3360.62253256056,99.56190810929692,0.25,0.5,0.25
CHKP,CHKP,Cybersecurity & digital trust,Fwd EPS,124.03,12902568960.0,11.42974,10.9x,0.18,28.0,525.82400000704,323.9490445916633,0.12,22.0,353.2751586918401,184.83041094238496,0.04,15.0,192.85354583040004,55.48943467741678,356.30696580528,187.2748252884625,0.25,0.5,0.25
MPC,MPC,Energy transition & grids,Fwd EPS,255.03,74452598784.0,21.96364,11.6x,0.18,28.0,1010.43497398144,296.2023973577383,0.12,22.0,678.8613219942403,166.1888099416697,0.04,15.0,370.5916191744,45.31295109375368,684.6873092860801,168.47324208370785,0.25,0.5,0.25
PSX,PSX,Energy transition & grids,Fwd EPS,176.2,70644744192.0,15.80012,11.2x,0.18,28.0,726.88287738752,312.53284755250854,0.12,22.0,488.35668180992013,177.16043235523279,0.04,15.0,266.5947927552,51.302379543246325,492.54775844064005,179.53902295155507,0.25,0.5,0.25
EOG,EOG,Energy transition & grids,Fwd EPS,140.26,74706477056.0,14.4088,9.7x,0.18,28.0,662.8753454847999,372.60469519806077,0.12,22.0,445.3531844608001,217.5197379586483,0.04,15.0,243.11910604800002,73.33459721089409,449.17520511360004,220.24469208156287,0.25,0.5,0.25
VST,VST,Energy transition & grids,Fwd EPS,139.68,47097643008.0,11.28686,12.4x,0.18,28.0,519.2508204665601,271.7431418002291,0.12,22.0,348.8589642137601,149.75584494112263,0.04,15.0,190.44273730560002,36.34216588316153,351.8528715499201,151.899249391409,0.25,0.5,0.25
GEN,GEN,Cybersecurity & digital trust,Fwd EPS,23.45,14202815488.0,3.28936,7.1x,0.18,28.0,151.32666470655997,545.316267405373,0.12,22.0,101.66890725376001,333.5561076919403,0.04,15.0,55.5012397056,136.6790605782516,102.54142972992,337.2768858418763,0.25,0.5,0.25
VLO,VLO,Energy transition & grids,Fwd EPS,250.74,74452926464.0,18.65339,13.4x,0.18,28.0,858.14726699744,242.24585905616976,0.12,22.0,576.5467379302402,129.9380784598549,0.04,15.0,314.7379033344,25.523611443886107,581.4946615480801,131.9114068549414,0.25,0.5,0.25
LNG,LNG,Energy transition & grids,Fwd EPS,241.84,50678022144.0,19.26808,12.6x,0.18,28.0,886.4260165196799,266.5340789446245,0.12,22.0,595.5458321612803,146.2561330471718,0.04,15.0,325.1095431168,34.43166685279524,600.6568059897601,148.36950297294084,0.25,0.5,0.25
TXT,TXT,Industrial automation & robotics,Fwd EPS,88.77,15436124160.0,7.30097,12.2x,0.18,28.0,335.88036554912003,278.37148310140816,0.12,22.0,225.66141796352008,154.20909988004965,0.04,15.0,123.18897477120002,38.77320578033123,227.59804406184006,156.3907221604597,0.25,0.5,0.25
ZBH,ZBH,Industrial automation & robotics,Fwd EPS,83.7,16192808960.0,8.99281,9.3x,0.18,28.0,413.71328879775996,394.28110967474305,0.12,22.0,277.9535124889601,232.08304956865,0.04,15.0,151.73532341760003,81.28473526594986,280.33890929832006,234.9329860194983,0.25,0.5,0.25
IONQ,IONQ,Quantum / frontier compute,Rev/Sh,51.95,19391373312.0,0.5012940393476305,103.6x,0.45,30.0,45.8477262211851,-11.746436532848703,0.28,20.0,21.025795944119245,-59.52686055029982,0.1,12.0,8.006668396460357,-84.58774129651519,21.433487357851803,-58.742084007984985,0.2,0.45,0.35
TSM,TSM,AI infrastructure & compute,Fwd EPS,404.35,2097120935936.0,19.29218,21.0x,0.18,28.0,887.5347345132799,119.49665747824407,0.12,22.0,596.2907249868802,47.46895634645236,0.04,15.0,325.51618145279997,-19.496430950216403,601.4080914849601,48.73453480523311,0.25,0.5,0.25
FANG,FANG,Energy transition & grids,Fwd EPS,203.56,57264136192.0,16.96353,12.0x,0.18,28.0,780.4054334428798,283.3785780324621,0.12,22.0,524.3158420684802,157.57311950701518,0.04,15.0,286.2249631488,40.6096301575948,528.81552018216,159.7836118010218,0.25,0.5,0.25
