ticker,composite_rank,composite_score,pct_scenario,pct_rubric,pct_risk,pct_mc,pct_dcf,valuation_rank,valuation_score,tier
MU,1,98.4320,98.65,100.00,99.66,93.60,98.65,5,480.2567,1
B,2,94.7150,96.97,98.32,90.57,88.22,96.97,10,352.4844,1
PSX,3,85.8930,92.26,85.52,66.33,95.62,92.26,24,249.2405,1
MPC,4,84.9325,91.25,81.14,71.04,92.93,91.25,27,240.7588,1
FSLR,5,84.6155,94.28,95.96,46.13,91.25,94.28,18,301.2190,1
CVS,6,83.8205,90.57,78.45,72.73,89.56,90.57,29,238.2939,1
PFE,7,83.4010,96.63,85.19,45.79,95.29,96.63,11,348.3152,1
EOG,8,80.9075,94.61,79.46,47.81,90.91,94.61,17,307.3181,1
PATH,9,80.5205,90.91,99.66,22.22,98.65,90.91,28,240.1078,1
GEN,10,79.8850,98.32,96.30,13.47,91.92,98.32,6,474.5234,1
VLO,11,78.8355,81.14,71.04,82.49,80.81,81.14,57,181.2183,1
ZBH,12,78.7380,96.30,89.56,14.14,100.00,96.30,12,328.3548,1
SMCI,13,78.7375,94.95,88.55,19.87,97.64,94.95,16,311.8685,1
TENB,14,77.9625,93.60,94.95,10.44,97.98,93.60,20,298.7642,1
QLYS,15,77.8775,92.59,96.97,10.77,96.30,92.59,23,258.5586,1
FRSH,16,77.5895,91.58,98.65,12.79,91.58,91.58,26,244.5265,1
MRK,17,77.3735,89.90,48.82,76.09,93.27,89.90,31,230.6591,1
WDAY,18,77.1065,93.27,97.98,2.02,99.33,93.27,21,293.2650,1
VST,19,76.6675,88.22,97.64,21.21,84.85,88.22,36,209.7651,1
PD,20,76.6650,100.00,84.51,6.73,94.61,100.00,1,757.5500,1
CNC,21,76.4690,84.18,91.25,36.03,85.19,84.18,48,190.8601,1
SAN.PA,22,76.2120,97.98,86.87,4.04,96.63,97.98,7,392.0682,1
GSK,23,75.9095,95.29,45.45,62.96,92.26,95.29,15,319.1246,1
QRVO,24,75.5560,89.56,67.68,42.09,95.96,89.56,32,227.4953,1
VWS.CO,25,75.1685,65.99,89.23,81.82,67.34,65.99,102,99.6407,1
TXT,26,74.6785,88.89,70.03,42.42,87.54,88.89,34,216.1799,1
