ticker,valuation_rank,valuation_score,tier,weighted_upside,base_upside,bear_upside
PD,1,757.5500,1,535.4456,530.0386,243.9392
UEIC,2,569.8922,1,404.0519,399.7629,172.8215
SRPT,3,541.4037,1,384.1049,379.9857,162.0251
XRAY,4,529.5593,1,375.8118,371.7631,157.5363
MU,5,480.2567,1,341.2912,337.5363,138.8518
GEN,6,474.5234,1,337.2769,333.5561,136.6791
SAN.PA,7,392.0682,1,279.5437,276.3141,105.4306
CI,8,373.5733,1,266.5939,263.4746,98.4214
BAX,9,367.5992,1,262.4111,259.3273,96.1574
B,10,352.4844,1,251.8280,248.8343,90.4293
PFE,11,348.3152,1,248.9088,245.9400,88.8493
ZBH,12,328.3548,1,234.9330,232.0830,81.2847
DVN,13,324.5832,1,232.2922,229.4647,79.8554
LDOS,14,323.6669,1,231.6507,228.8287,79.5082
GSK,15,319.1246,1,228.4702,225.6753,77.7867
SMCI,16,311.8685,1,223.3897,220.6380,75.0368
EOG,17,307.3181,1,220.2036,217.4790,73.3123
FSLR,18,301.2190,1,215.9332,213.2449,71.0009
ARRY,19,298.9631,1,214.3536,211.6788,70.1460
TENB,20,298.7642,1,214.2144,211.5407,70.0706
WDAY,21,293.2650,1,210.3639,207.7231,67.9866
CHKP,22,260.2889,1,187.2748,184.8304,55.4894
QLYS,23,258.5586,1,186.0633,183.6292,54.8337
PSX,24,249.2405,1,179.5390,177.1604,51.3024
NRG,25,247.5780,1,178.3750,176.0063,50.6723
FRSH,26,244.5265,1,176.2384,173.8879,49.5159
MPC,27,240.7588,1,173.6003,171.2722,48.0880
PATH,28,240.1078,1,173.1445,170.8203,47.8413
CVS,29,238.2939,1,171.8745,169.5611,47.1539
BIIB,30,232.8989,1,168.0970,165.8157,45.1093
MRK,31,230.6591,1,166.5287,164.2609,44.2605
QRVO,32,227.4953,1,164.3135,162.0645,43.0615
FANG,33,221.5331,1,160.1389,157.9254,40.8019
TXT,34,216.1799,1,156.3907,154.2091,38.7732
SWK,35,216.1012,1,156.3356,154.1545,38.7434
VST,36,209.7651,1,151.8992,149.7558,36.3422
NGG,37,209.1542,1,151.4715,149.3317,36.1106
PNR,38,206.3655,1,149.5189,147.3958,35.0538
ZBRA,39,204.9132,1,148.5021,146.3876,34.5034
LNG,40,204.7239,1,148.3695,146.2561,34.4317
MDT,41,204.4774,1,148.1969,146.0850,34.3382
SPIR,42,203.7775,1,147.7068,145.5991,34.0730
ENEL.MI,43,201.4203,1,146.0564,143.9627,33.1797
ALGN,44,200.2667,1,145.2487,143.1619,32.7425
ENGI.PA,45,198.8694,1,144.2703,142.1918,32.2130
LH,46,195.6355,1,142.0060,139.9468,30.9874
REGN,47,193.4469,1,140.4736,138.4275,30.1580
CNC,48,190.8601,1,138.6624,136.6316,29.1776
ALLE,49,188.2095,1,136.8065,134.7915,28.1731
MNDY,50,187.3749,1,136.2221,134.2121,27.8568
ET,51,187.3617,1,136.2129,134.2030,27.8518
NVO,52,185.1110,1,134.6370,132.6405,26.9989
SWKS,53,184.3246,1,134.0864,132.0946,26.7008
AOS,54,182.2213,1,132.6137,130.6344,25.9037
ELV,55,181.6119,1,132.1870,130.2113,25.6728
ROP,56,181.5287,1,132.1287,130.1536,25.6412
VLO,57,181.2183,1,131.9114,129.9381,25.5236
AFX.DE,58,179.1914,1,130.4922,128.5310,24.7555
TRMB,59,178.5713,1,130.0581,128.1005,24.5205
COP,60,175.7945,1,128.1138,126.1728,23.4681
AMGN,61,170.1268,1,124.1454,122.2382,21.3202
ABT,62,169.6195,1,123.7902,121.8860,21.1280
BSX,63,168.1132,1,122.7355,120.8403,20.5571
FLS,64,165.6908,1,121.0394,119.1586,19.6391
DSY.PA,65,163.6673,1,119.6226,117.7538,18.8722
EXC,66,161.8211,1,118.3300,116.4722,18.1726
HAL,67,157.4786,1,115.2894,113.4575,16.5269
EDP.LS,68,156.9204,1,114.8986,113.0700,16.3153
FE,69,149.3477,1,109.5963,107.8129,13.4454
ROG.SW,70,149.0771,1,109.4069,107.6251,13.3429
OKE,71,148.7391,1,109.1702,107.3904,13.2148
OTIS,72,146.0340,1,107.2762,105.5125,12.1896
COLO-B.CO,73,145.4572,1,106.8723,105.1121,11.9710
NOVN.SW,74,140.7492,1,103.5759,101.8437,10.1868
WTRG,75,138.4018,1,101.9323,100.2140,9.2972
GMAB.CO,76,135.0164,1,99.5619,97.8638,8.0142
HOLX,77,134.7312,1,99.3622,97.6658,7.9061
CVX,78,133.6514,1,98.6061,96.9162,7.4969
DEMANT.CO,79,131.8984,1,97.3788,95.6993,6.8326
HII,80,129.1013,1,95.4203,93.7575,5.7726
DGX,81,128.4467,1,94.9620,93.3031,5.5245
TMO,82,127.4787,1,94.2842,92.6311,5.1576
VEEV,83,127.0113,1,93.9569,92.3065,4.9805
LMT,84,126.8229,1,93.8250,92.1758,4.9091
OXY,85,126.7598,1,93.7808,92.1319,4.8852
ED,86,124.2553,1,92.0273,90.3933,3.9361
IBM,87,123.1395,1,91.2460,89.6187,3.5132
SLB,88,118.1435,1,87.7479,86.1504,1.6198
RMD,89,118.0552,1,87.6861,86.0891,1.5864
DUK,90,113.8496,1,84.7414,83.1695,-0.0074
ORSTED.CO,91,112.8507,1,84.0420,82.4760,-0.3860
A,92,111.9645,1,83.4215,81.8607,-0.7219
DT,93,111.9194,1,83.3899,81.8295,-0.7390
CRUS,94,111.6639,1,83.2111,81.6521,-0.8358
XEL,95,108.9491,1,81.3102,79.7674,-1.8646
RWE.DE,96,107.4243,1,80.2426,78.7089,-2.4425
UCB.BR,97,105.3884,1,78.8170,77.2955,-3.2141
XYL,98,100.5901,1,75.4574,73.9645,-5.0325
LDO.MI,99,100.1924,1,75.1790,73.6884,-5.1832
ESTC,100,100.1719,1,75.1646,73.6741,-5.1910
DHR,101,100.0933,1,75.1095,73.6195,-5.2208
VWS.CO,102,99.6407,1,74.7927,73.3054,-5.3923
JNJ,103,99.6068,1,74.7689,73.2818,-5.4051
NOC,104,98.5396,1,74.0217,72.5410,-5.8096
NEX.PA,105,98.1035,1,73.7163,72.2382,-5.9749
IBE.MC,106,97.9489,1,73.6081,72.1309,-6.0334
HEXA-B.ST,107,97.8643,1,73.5489,72.0721,-6.0655
HO.PA,108,97.5308,1,73.3154,71.8406,-6.1919
WEC,109,94.8863,1,71.4638,70.0048,-7.1941
DOV,110,94.8420,1,71.4327,69.9740,-7.2109
FTV,111,94.0704,1,70.8925,69.4383,-7.5033
IR,112,93.4027,1,70.4249,68.9748,-7.7564
PODD,113,93.3176,1,70.3654,68.9158,-7.7886
SYK,114,92.5586,1,69.8339,68.3888,-8.0763
GD,115,90.8352,1,68.6273,67.1924,-8.7293
OLED,116,89.6471,1,67.7954,66.3676,-9.1796
EMR,117,89.4665,1,67.6689,66.2422,-9.2481
HON,118,89.2497,1,67.5171,66.0917,-9.3302
BAESY,119,87.1714,1,66.0620,64.6490,-10.1178
SO,120,86.5873,1,65.6530,64.2434,-10.3392
AWK,121,85.5526,1,64.9285,63.5251,-10.7313
NOW,122,85.3547,1,64.7899,63.3877,-10.8063
QCOM,123,85.0238,1,64.5583,63.1581,-10.9317
UNH,124,84.6087,1,64.2676,62.8699,-11.0890
AIR.PA,125,78.3738,1,59.9021,58.5415,-13.4519
OKTA,126,77.7434,1,59.4607,58.1038,-13.6908
NDX1.DE,127,77.4328,1,59.2432,57.8882,-13.8085
CEG,128,76.0493,1,58.2745,56.9278,-14.3328
NVDA,129,75.8498,1,58.1349,56.7893,-14.4084
ATO,130,75.2693,1,57.7284,56.3863,-14.6284
HUM,131,73.8400,1,56.7276,55.3940,-15.1701
VMI,132,72.8899,1,56.0624,54.7345,-15.5302
DIOD,133,72.0788,1,55.4944,54.1713,-15.8376
MOH,134,71.0243,1,54.7562,53.4393,-16.2372
DXCM,135,70.1602,1,54.1511,52.8394,-16.5647
VRTX,136,69.7012,1,53.8297,52.5208,-16.7386
ITW,137,68.7910,1,53.1924,51.8889,-17.0836
RHM.DE,138,68.1391,1,52.7360,51.4364,-17.3306
SIE.DE,139,67.6651,1,52.4041,51.1073,-17.5103
EADSY,140,66.7796,1,51.7841,50.4926,-17.8458
KNEBV.HE,141,66.2374,1,51.4044,50.1161,-18.0513
FLEX,142,63.0566,1,49.1773,47.9080,-19.2568
TSM,143,62.4242,1,48.7345,47.4690,-19.4964
CMI,144,62.2556,1,48.6165,47.3519,-19.5603
TECH,145,62.2513,1,48.6135,47.3489,-19.5620
ITT,146,60.4450,1,47.3488,46.0950,-20.2465
PLAB,147,60.0625,1,47.0809,45.8294,-20.3915
NEE,148,59.3800,1,46.6031,45.3556,-20.6501
LONN.SW,149,56.6844,1,44.7156,43.4843,-21.6717
LECO,150,55.7846,1,44.0856,42.8596,-22.0127
ENPH,151,55.4789,1,43.8716,42.6474,-22.1285
WAB,152,54.6349,1,43.2806,42.0615,-22.4484
KMI,153,52.3506,1,41.6812,40.4757,-23.3141
SAF.PA,154,51.0056,1,40.7395,39.5419,-23.8238
APH,155,50.4445,1,40.3466,39.1524,-24.0364
LHX,156,50.3920,1,40.3099,39.1160,-24.0563
NDSN,157,49.7919,1,39.8897,38.6994,-24.2838
GGG,158,48.5264,1,39.0036,37.8208,-24.7634
ARGX.BR,159,48.1224,1,38.7207,37.5404,-24.9165
IEX,160,47.7952,1,38.4916,37.3132,-25.0405
LLY,161,46.8689,1,37.8431,36.6701,-25.3915
RTX,162,46.5331,1,37.6080,36.4371,-25.5188
TRGP,163,45.5889,1,36.9468,35.7816,-25.8766
SU.PA,164,44.0961,1,35.9016,34.7452,-26.4423
STMN.SW,165,43.2637,1,35.3188,34.1674,-26.7578
AVGO,166,41.5159,1,34.0950,32.9540,-27.4202
JBL,167,40.8366,1,33.6194,32.4824,-27.6776
LR.PA,168,39.3248,1,32.5609,31.4329,-28.2505
TDY,169,37.9895,1,31.6259,30.5059,-28.7566
GNRC,170,36.3916,1,30.5071,29.3966,-29.3621
ILMN,171,35.2234,1,29.6892,28.5856,-29.8049
KLIC,172,34.8563,1,29.4321,28.3308,-29.9440
EW,173,33.9983,1,28.8314,27.7352,-30.2691
DE,174,32.3906,1,27.7057,26.6190,-30.8784
ALFA.ST,175,31.7011,1,27.2229,26.1404,-31.1397
ATRO,176,30.4356,1,26.3369,25.2619,-31.6193
BANB.SW,177,28.6717,1,25.1018,24.0373,-32.2878
JCI,178,26.9318,1,23.8835,22.8294,-32.9472
PH,179,25.6555,1,22.9899,21.9434,-33.4309
IFX.DE,180,25.4513,1,22.8469,21.8016,-33.5083
ETN,181,25.2628,1,22.7150,21.6708,-33.5797
AME,182,22.1384,1,20.5273,19.5018,-34.7638
XFAB.PA,183,22.0130,1,20.4395,19.4147,-34.8113
YSN.DE,184,21.9027,1,20.3623,19.3381,-34.8531
